timestamps;training_score;testing_score
0.5405547618865967;31.0;40.0
0.5854341983795166;23.0;20.0
0.6203413009643555;17.0;52.0
0.6761918067932129;26.0;14.0
0.7110986709594727;14.0;17.0
0.7569746971130371;19.0;18.0
0.8138229846954346;31.0;17.0
0.8497257232666016;14.0;11.0
0.9095644950866699;22.0;13.0
0.9364919662475586;10.0;9.0
0.993340253829956;13.0;12.0
1.0621545314788818;25.0;16.0
1.0870862007141113;12.0;10.0
1.1289730072021484;24.0;11.0
1.1668720245361328;22.0;13.0
1.196791172027588;15.0;9.0
1.216737985610962;9.0;9.0
1.2356412410736084;8.0;9.0
1.2785205841064453;20.0;18.0
1.2974705696105957;9.0;10.0
1.328385829925537;15.0;16.0
1.3503262996673584;10.0;12.0
1.3792486190795898;15.0;12.0
1.402186393737793;11.0;10.0
1.4281153678894043;12.0;10.0
1.4490418434143066;9.0;10.0
1.4669930934906006;9.0;10.0
1.4959146976470947;15.0;14.0
1.5218441486358643;13.0;17.0
1.5507667064666748;16.0;26.0
1.6036231517791748;15.0;16.0
1.6504943370819092;11.0;28.0
1.6803724765777588;13.0;31.0
1.729241132736206;20.0;72.0
1.8229918479919434;59.0;28.0
1.8828306198120117;35.0;18.0
1.9087612628936768;13.0;16.0
1.9715943336486816;38.0;54.0
2.0204625129699707;27.0;44.0
2.1002490520477295;49.0;59.0
2.153106927871704;30.0;31.0
2.188014507293701;18.0;24.0
2.258824110031128;44.0;33.0
2.2877464294433594;15.0;21.0
2.3525407314300537;38.0;16.0
2.470226287841797;45.0;37.0
2.5081238746643066;20.0;45.0
2.573946714401245;38.0;42.0
2.6397690773010254;38.0;52.0
2.6916301250457764;30.0;53.0
2.807321786880493;47.0;43.0
2.885112762451172;44.0;78.0
2.9449520111083984;34.0;13.0
3.0337131023406982;52.0;30.0
3.08258318901062;28.0;102.0
3.140434980392456;21.0;16.0
3.2601146697998047;69.0;12.0
3.285048484802246;13.0;11.0
3.39775013923645;51.0;17.0
3.475541114807129;46.0;24.0
3.502469539642334;14.0;29.0
3.5603153705596924;34.0;22.0
3.6181600093841553;33.0;28.0
3.6729865074157715;31.0;12.0
3.7138774394989014;23.0;12.0
3.811614513397217;59.0;43.0
3.993129014968872;117.0;11.0
4.1287617683410645;49.0;18.0
4.207550525665283;46.0;15.0
4.253427028656006;25.0;17.0
4.284344673156738;17.0;16.0
4.3302226066589355;27.0;15.0
4.381085634231567;27.0;30.0
