timestamps;training_score;testing_score
0.0009398460388183594;11.0;9.0
0.001628875732421875;13.0;10.0
0.163193941116333;15.0;10.0
0.6491167545318604;27.0;10.0
1.2077834606170654;31.0;8.0
1.379643440246582;10.0;9.0
1.7352991104125977;20.0;11.0
2.056018352508545;18.0;9.0
2.354152202606201;17.0;12.0
2.6348607540130615;15.0;11.0
2.926994562149048;16.0;9.0
3.255746603012085;18.0;9.0
3.5541634559631348;16.0;8.0
4.0876030921936035;29.0;10.0
4.711169004440308;32.0;23.0
5.139316082000732;24.0;10.0
5.390141725540161;13.0;11.0
5.716431140899658;18.0;10.0
6.095979690551758;20.0;9.0
6.274657964706421;9.0;12.0
8.036431789398193;94.0;14.0
8.56204104423523;28.0;9.0
8.856508731842041;15.0;9.0
9.289945125579834;21.0;8.0
9.546439170837402;13.0;9.0
9.860357522964478;17.0;10.0
10.127422332763672;13.0;22.0
10.450951099395752;17.0;15.0
10.730058193206787;14.0;35.0
11.170249223709106;23.0;10.0
11.410580396652222;12.0;9.0
11.746362447738647;17.0;8.0
12.45911979675293;35.0;10.0
12.886302709579468;21.0;10.0
13.406334638595581;26.0;33.0
13.807973384857178;20.0;9.0
14.054901123046875;13.0;10.0
14.240803718566895;9.0;9.0
14.592484474182129;17.0;18.0
14.983598709106445;19.0;35.0
15.489678382873535;24.0;29.0
15.942385196685791;22.0;22.0
16.492822647094727;26.0;20.0
16.83659601211548;17.0;39.0
17.25873899459839;20.0;33.0
17.78876781463623;26.0;153.0
18.55749011039734;36.0;25.0
21.347334384918213;135.0;76.0
21.8515408039093;24.0;52.0
23.04388189315796;58.0;43.0
23.487969398498535;22.0;141.0
26.187548398971558;128.0;48.0
26.96065092086792;38.0;57.0
28.19625186920166;59.0;37.0
28.93354845046997;35.0;36.0
30.1583149433136;59.0;71.0
34.34330892562866;200.0;199.0
37.15707492828369;137.0;116.0
40.00455856323242;136.0;140.0
42.48096680641174;120.0;121.0
46.66302490234375;200.0;103.0
49.98382258415222;161.0;146.0
54.13658857345581;200.0;183.0
56.526323080062866;115.0;200.0
60.64705157279968;200.0;170.0
63.99137759208679;162.0;200.0
66.93836784362793;142.0;200.0
71.09170269966125;200.0;200.0
72.26731848716736;57.0;200.0
75.00860095024109;132.0;122.0
76.72478485107422;82.0;200.0
80.8508186340332;200.0;104.0
85.01807379722595;200.0;149.0
87.47753763198853;118.0;200.0
91.61313819885254;200.0;99.0
95.51596641540527;189.0;200.0
98.11464810371399;126.0;200.0
102.22698092460632;200.0;200.0
106.42618680000305;200.0;128.0
108.56577944755554;103.0;200.0
112.7674880027771;200.0;187.0
116.90529990196228;200.0;200.0
