timestamps;training_score;testing_score
0.000997304916381836;20.0;10.0
0.0785977840423584;16.0;10.0
0.29502224922180176;18.0;11.0
0.5154318809509277;18.0;10.0
0.8510689735412598;26.0;9.0
1.077580451965332;18.0;9.0
1.531893253326416;25.0;9.0
1.8339359760284424;16.0;9.0
2.0890302658081055;15.0;26.0
2.4625015258789062;23.0;9.0
2.942775249481201;29.0;9.0
3.1931047439575195;16.0;9.0
3.5659525394439697;21.0;29.0
4.050668239593506;19.0;10.0
4.281052350997925;17.0;11.0
4.446685791015625;11.0;11.0
4.877667665481567;33.0;11.0
5.066163778305054;15.0;27.0
5.238701581954956;13.0;12.0
5.438377857208252;15.0;9.0
5.798681974411011;21.0;11.0
6.004109859466553;10.0;12.0
6.2439141273498535;17.0;9.0
6.428420782089233;14.0;12.0
6.662138223648071;18.0;15.0
7.101991653442383;35.0;10.0
7.287576913833618;12.0;11.0
7.732012987136841;26.0;13.0
7.898335218429565;11.0;14.0
8.158154249191284;12.0;11.0
8.290085315704346;9.0;12.0
8.447128534317017;11.0;10.0
8.615701675415039;13.0;10.0
8.791234016418457;13.0;12.0
8.983746528625488;13.0;10.0
9.100919008255005;9.0;10.0
9.239108085632324;9.0;9.0
9.40602707862854;12.0;9.0
9.60945463180542;16.0;12.0
9.907660484313965;16.0;14.0
10.10903549194336;11.0;13.0
10.342771291732788;14.0;14.0
10.503315687179565;12.0;15.0
10.69582748413086;15.0;13.0
10.953750848770142;20.0;14.0
11.134313583374023;13.0;13.0
11.404616355895996;18.0;13.0
11.581147193908691;13.0;14.0
11.808095216751099;12.0;17.0
12.058352708816528;13.0;10.0
12.369521617889404;14.0;16.0
12.639320135116577;17.0;13.0
12.926474571228027;20.0;21.0
13.140862226486206;14.0;16.0
13.325631141662598;13.0;14.0
13.487107276916504;12.0;18.0
13.713552474975586;13.0;15.0
13.998162031173706;15.0;15.0
14.419036149978638;15.0;22.0
14.778074264526367;19.0;20.0
15.202826023101807;30.0;16.0
15.45617413520813;16.0;27.0
15.84151005744934;20.0;16.0
16.076908588409424;15.0;15.0
16.380125999450684;16.0;22.0
16.82563281059265;31.0;18.0
17.20138907432556;22.0;26.0
17.97664785385132;40.0;35.0
18.74036717414856;45.0;33.0
19.27786612510681;34.0;49.0
19.73564076423645;33.0;49.0
20.913805723190308;77.0;79.0
22.14996337890625;86.0;61.0
23.34220004081726;69.0;76.0
24.66782832145691;78.0;66.0
25.813081979751587;84.0;72.0
26.90296244621277;63.0;88.0
28.305514335632324;76.0;104.0
29.955500841140747;109.0;99.0
31.645282745361328;96.0;109.0
33.581467151641846;130.0;138.0
35.067787647247314;96.0;83.0
36.84018898010254;102.0;113.0
39.407822608947754;148.0;114.0
41.32104206085205;114.0;145.0
43.4783821105957;129.0;134.0
45.335039138793945;111.0;124.0
47.70303821563721;146.0;133.0
49.894266843795776;123.0;131.0
53.06652331352234;183.0;158.0
55.52107644081116;139.0;152.0
58.91207695007324;185.0;154.0
62.688358783721924;200.0;200.0
65.64862895011902;197.0;195.0
68.5189425945282;196.0;185.0
72.13917064666748;195.0;170.0
75.10286593437195;200.0;200.0
78.03737616539001;197.0;200.0
81.46390199661255;200.0;200.0
85.31080508232117;200.0;200.0
89.7765600681305;200.0;200.0
94.0959529876709;200.0;200.0
98.1036148071289;186.0;200.0
101.40675926208496;200.0;185.0
105.62316584587097;199.0;185.0
110.02598261833191;200.0;198.0
115.87638354301453;200.0;200.0
