timestamps;training_score;testing_score
0.09010720252990723;40.0;57.0
0.16975164413452148;9.0;11.0
0.286334753036499;13.0;10.0
0.48700761795043945;23.0;42.0
0.7139461040496826;25.0;56.0
1.1777591705322266;51.0;45.0
1.5426301956176758;40.0;42.0
1.7425251007080078;21.0;41.0
2.1746864318847656;47.0;53.0
2.4568397998809814;28.0;40.0
2.833207368850708;40.0;36.0
2.9390060901641846;12.0;61.0
3.0196950435638428;9.0;31.0
3.452718734741211;47.0;58.0
3.7331018447875977;30.0;35.0
3.840256929397583;13.0;32.0
4.4841883182525635;73.0;23.0
4.915726661682129;46.0;41.0
5.301590442657471;43.0;37.0
5.399609804153442;11.0;30.0
6.192535877227783;87.0;37.0
6.6250083446502686;46.0;28.0
7.1676177978515625;60.0;60.0
7.732446193695068;60.0;33.0
8.19475269317627;49.0;28.0
8.875050067901611;72.0;27.0
9.241073608398438;38.0;36.0
9.611931562423706;38.0;64.0
10.23639440536499;62.0;46.0
10.664918184280396;45.0;31.0
11.112507343292236;47.0;46.0
11.429081678390503;33.0;45.0
12.362684726715088;94.0;65.0
12.987017393112183;64.0;105.0
13.6827712059021;72.0;85.0
14.832513093948364;120.0;95.0
16.00930905342102;121.0;72.0
17.078691005706787;109.0;96.0
18.356263399124146;132.0;97.0
19.987523794174194;170.0;163.0
21.04363989830017;111.0;178.0
21.894708395004272;88.0;133.0
23.368539571762085;156.0;124.0
24.244677543640137;90.0;119.0
25.13878583908081;92.0;200.0
27.08706784248352;200.0;200.0
28.787391662597656;176.0;200.0
30.455235481262207;173.0;173.0
31.745001792907715;131.0;200.0
33.710795640945435;200.0;114.0
35.60027623176575;197.0;160.0
37.52253484725952;200.0;200.0
38.639899015426636;114.0;200.0
39.49978256225586;88.0;156.0
41.39321303367615;200.0;117.0
42.66945934295654;133.0;98.0
43.69725561141968;104.0;101.0
44.79238319396973;115.0;99.0
45.70336151123047;94.0;71.0
46.930930376052856;129.0;89.0
48.346938610076904;144.0;114.0
49.73599934577942;143.0;129.0
51.092957973480225;141.0;107.0
52.98262166976929;195.0;90.0
54.47140550613403;157.0;200.0
56.013208627700806;160.0;155.0
57.75495886802673;178.0;181.0
59.35516834259033;164.0;200.0
61.31896734237671;200.0;181.0
63.304582834243774;200.0;200.0
65.23206734657288;200.0;200.0
67.17348217964172;200.0;200.0
69.09950613975525;200.0;200.0
71.04483008384705;200.0;200.0
72.97097063064575;200.0;200.0
74.82972002029419;194.0;200.0
76.72527813911438;200.0;200.0
78.6560697555542;200.0;200.0
80.60177254676819;200.0;184.0
82.5143678188324;200.0;200.0
84.42506217956543;200.0;200.0
86.46982526779175;200.0;200.0
88.62714576721191;200.0;200.0
90.51099610328674;186.0;200.0
92.45873880386353;200.0;200.0
94.34433579444885;194.0;200.0
96.21162104606628;196.0;200.0
98.12947154045105;200.0;200.0
100.04844236373901;200.0;199.0
101.9322030544281;200.0;200.0
103.88869285583496;200.0;200.0
105.79667234420776;200.0;200.0
107.70796966552734;199.0;200.0
109.64131307601929;200.0;190.0
111.54824161529541;200.0;200.0
113.4914767742157;200.0;200.0
115.42230820655823;200.0;200.0
117.3904116153717;200.0;200.0
119.31778001785278;200.0;200.0
121.22796869277954;200.0;200.0
123.15987539291382;200.0;200.0
125.0705795288086;200.0;200.0
126.9956407546997;200.0;200.0
128.8910562992096;200.0;185.0
130.83634281158447;200.0;200.0
132.7642743587494;200.0;200.0
134.66105437278748;200.0;200.0
136.5304515361786;200.0;200.0
138.46977734565735;200.0;200.0
140.40018010139465;200.0;192.0
141.9395351409912;161.0;200.0
143.85889148712158;200.0;200.0
145.81857776641846;200.0;200.0
147.76314067840576;200.0;200.0
149.66263365745544;200.0;200.0
151.59102272987366;200.0;200.0
153.52885627746582;200.0;200.0
155.4355993270874;200.0;200.0
157.39612865447998;200.0;200.0
159.32218265533447;200.0;200.0
161.26349520683289;200.0;200.0
163.21519684791565;200.0;200.0
165.15282034873962;200.0;200.0
167.05945372581482;200.0;200.0
168.80703735351562;180.0;185.0
170.7254662513733;200.0;200.0
172.698255777359;200.0;200.0
174.62350368499756;200.0;200.0
176.54671454429626;200.0;200.0
178.48733353614807;200.0;200.0
180.4050726890564;200.0;200.0
182.25202560424805;195.0;200.0
184.20128059387207;200.0;200.0
186.06781482696533;194.0;200.0
187.83864736557007;187.0;200.0
189.58682775497437;179.0;200.0
191.33743333816528;180.0;200.0
193.26005172729492;200.0;187.0
195.17363214492798;200.0;200.0
197.07927465438843;200.0;200.0
199.0081968307495;200.0;183.0
200.75707364082336;180.0;200.0
202.68233919143677;200.0;200.0
204.2495403289795;166.0;137.0
206.05049204826355;186.0;200.0
207.94059252738953;200.0;200.0
209.73360753059387;184.0;171.0
211.67770886421204;200.0;200.0
213.64082765579224;197.0;175.0
215.41739988327026;182.0;200.0
217.37156105041504;200.0;182.0
219.296404838562;200.0;200.0
221.20437693595886;200.0;200.0
223.1727499961853;200.0;190.0
225.11573266983032;200.0;200.0
227.08502674102783;200.0;191.0
229.0469708442688;200.0;200.0
231.0007495880127;200.0;188.0
232.90075135231018;199.0;200.0
234.8106279373169;200.0;200.0
236.77643203735352;200.0;200.0
238.69995665550232;200.0;200.0
240.67135548591614;200.0;200.0
242.59567832946777;200.0;200.0
244.54630303382874;200.0;200.0
246.48992133140564;200.0;200.0
