timestamps;training_score;testing_score
0.34716367721557617;22.0;12.0
0.3840656280517578;20.0;15.0
0.4659738540649414;50.0;36.0
0.48990893363952637;11.0;54.0
0.6166501045227051;82.0;35.0
0.6904234886169434;54.0;28.0
0.7143597602844238;11.0;10.0
0.7542531490325928;22.0;21.0
0.8291947841644287;45.0;18.0
0.8521828651428223;11.0;13.0
0.8751223087310791;13.0;41.0
0.9289779663085938;23.0;17.0
1.0160655975341797;20.0;11.0
1.0390515327453613;9.0;20.0
1.0968971252441406;14.0;15.0
1.1357460021972656;22.0;12.0
1.155693531036377;12.0;15.0
1.181624412536621;14.0;12.0
1.1985878944396973;8.0;11.0
1.2205297946929932;12.0;13.0
1.2444660663604736;12.0;9.0
1.2654101848602295;9.0;11.0
1.2942986488342285;13.0;12.0
1.3142166137695312;10.0;12.0
1.3341634273529053;11.0;10.0
1.367074966430664;12.0;11.0
1.3959603309631348;16.0;11.0
1.4318649768829346;18.0;15.0
1.4558014869689941;11.0;15.0
1.4797391891479492;13.0;15.0
1.498647689819336;10.0;11.0
1.525576114654541;14.0;13.0
1.5564956665039062;19.0;12.0
1.5874240398406982;16.0;12.0
1.619339942932129;17.0;11.0
1.6412315368652344;10.0;15.0
1.672149896621704;17.0;14.0
1.7010719776153564;16.0;22.0
1.7479479312896729;26.0;26.0
1.7748756408691406;14.0;14.0
1.8194859027862549;27.0;22.0
1.9092462062835693;57.0;24.0
1.957780361175537;24.0;22.0
1.9876995086669922;17.0;73.0
2.088261127471924;67.0;41.0
2.1560802459716797;45.0;71.0
2.2659642696380615;38.0;66.0
2.3291640281677246;41.0;32.0
2.4051992893218994;44.0;71.0
2.527233600616455;79.0;99.0
2.625452995300293;66.0;56.0
2.7142152786254883;65.0;84.0
2.7730579376220703;35.0;48.0
2.8328981399536133;37.0;44.0
2.8847224712371826;31.0;54.0
2.9545390605926514;42.0;55.0
3.023355007171631;41.0;50.0
3.1172099113464355;59.0;45.0
3.2397584915161133;78.0;47.0
3.344479560852051;32.0;35.0
3.4073116779327393;42.0;47.0
3.4586806297302246;34.0;57.0
3.5593743324279785;69.0;51.0
3.7518999576568604;125.0;47.0
3.8244736194610596;39.0;98.0
3.9614739418029785;79.0;94.0
4.057272911071777;61.0;49.0
4.147033214569092;56.0;60.0
4.285662412643433;88.0;81.0
4.375736713409424;58.0;73.0
4.527086496353149;58.0;58.0
4.590942144393921;44.0;53.0
4.7809975147247314;124.0;78.0
4.891212463378906;69.0;121.0
4.990527629852295;64.0;116.0
5.117154359817505;82.0;125.0
5.418654441833496;200.0;197.0
6.045936107635498;200.0;193.0
6.282304763793945;132.0;101.0
6.444967269897461;93.0;76.0
6.587201118469238;73.0;76.0
6.751765251159668;73.0;53.0
7.176629066467285;81.0;53.0
7.290618419647217;71.0;62.0
7.382462978363037;51.0;71.0
7.51147723197937;74.0;115.0
7.6670262813568115;101.0;120.0
7.877431869506836;122.0;28.0
7.958214521408081;44.0;99.0
8.14238452911377;109.0;105.0
8.588213443756104;179.0;109.0
8.767733097076416;119.0;159.0
8.951239824295044;83.0;94.0
9.159634590148926;121.0;99.0
9.358324527740479;93.0;98.0
9.51955509185791;113.0;142.0
9.657692432403564;95.0;152.0
9.794103860855103;86.0;110.0
9.938716411590576;93.0;149.0
10.129734992980957;118.0;172.0
10.50780177116394;200.0;150.0
10.772528648376465;178.0;168.0
10.988481998443604;117.0;120.0
11.195931911468506;125.0;109.0
11.392408847808838;112.0;190.0
11.630229711532593;140.0;183.0
11.79703688621521;109.0;200.0
12.060861349105835;154.0;173.0
12.310249328613281;134.0;193.0
12.520150661468506;132.0;162.0
12.857550621032715;200.0;196.0
13.050348997116089;116.0;140.0
13.282135725021362;149.0;131.0
13.484593391418457;133.0;139.0
13.716686248779297;145.0;141.0
13.908173084259033;124.0;129.0
14.060285329818726;106.0;115.0
14.23543667793274;118.0;127.0
14.442883491516113;123.0;122.0
14.63693118095398;129.0;129.0
14.871004581451416;152.0;129.0
15.112398386001587;157.0;192.0
15.314462184906006;126.0;123.0
15.514925241470337;136.0;133.0
15.704319953918457;131.0;126.0
15.913333415985107;137.0;131.0
16.121980667114258;140.0;120.0
16.34141182899475;137.0;129.0
16.696760177612305;117.0;134.0
17.006877183914185;134.0;135.0
17.195261478424072;119.0;140.0
17.493496656417847;117.0;117.0
17.727760791778564;116.0;113.0
17.9192476272583;122.0;112.0
18.082809925079346;110.0;113.0
18.230910778045654;101.0;104.0
18.399043798446655;85.0;86.0
18.52575135231018;88.0;70.0
18.641440868377686;56.0;66.0
18.852874994277954;48.0;58.0
18.961638927459717;74.0;53.0
19.07195544242859;67.0;60.0
19.173683404922485;51.0;62.0
19.287378549575806;53.0;55.0
19.392131567001343;51.0;63.0
19.486875534057617;57.0;54.0
19.60126519203186;65.0;76.0
19.708978176116943;73.0;64.0
19.796728134155273;57.0;72.0
19.92074728012085;61.0;64.0
20.070866107940674;81.0;74.0
20.22445511817932;87.0;85.0
20.343135118484497;73.0;65.0
20.454784154891968;76.0;84.0
20.565256118774414;66.0;100.0
20.750426769256592;80.0;73.0
20.888058185577393;70.0;79.0
21.34085202217102;90.0;63.0
21.5215163230896;73.0;80.0
21.650171756744385;70.0;82.0
21.761873722076416;63.0;117.0
21.8827965259552;72.0;63.0
22.047564268112183;87.0;73.0
22.322827339172363;99.0;76.0
22.60514545440674;92.0;100.0
22.75374746322632;71.0;90.0
22.867732524871826;68.0;71.0
23.049647092819214;96.0;91.0
23.23116159439087;103.0;96.0
23.43529200553894;97.0;121.0
23.652037620544434;116.0;120.0
23.842236518859863;93.0;143.0
24.112930297851562;129.0;116.0
24.321406602859497;145.0;114.0
24.59679102897644;149.0;93.0
24.75676655769348;107.0;104.0
24.92348337173462;112.0;119.0
25.123252868652344;131.0;112.0
25.30975341796875;119.0;101.0
25.489320278167725;117.0;137.0
25.67236089706421;122.0;131.0
25.851905584335327;125.0;127.0
26.074774265289307;143.0;104.0
26.230557918548584;98.0;99.0
26.438950777053833;138.0;130.0
26.64751625061035;133.0;103.0
26.91879177093506;146.0;84.0
27.066789865493774;98.0;118.0
27.235303163528442;112.0;94.0
27.35996985435486;79.0;122.0
27.52007269859314;103.0;107.0
27.634384870529175;73.0;114.0
27.812983751296997;114.0;125.0
28.103607654571533;108.0;89.0
28.253859043121338;96.0;76.0
28.467292547225952;145.0;107.0
28.6379234790802;119.0;91.0
28.79910445213318;102.0;108.0
28.958399057388306;105.0;160.0
29.08613133430481;81.0;170.0
29.352505445480347;183.0;106.0
29.916996240615845;200.0;112.0
30.169870376586914;162.0;148.0
30.467670679092407;120.0;99.0
30.710021495819092;111.0;200.0
30.89621591567993;123.0;167.0
31.16256308555603;172.0;163.0
31.57047128677368;147.0;200.0
31.893605947494507;200.0;200.0
32.041430711746216;106.0;170.0
32.34280204772949;200.0;141.0
32.5238094329834;116.0;143.0
32.81602692604065;200.0;200.0
33.1072256565094;200.0;151.0
33.282424449920654;115.0;200.0
33.64829754829407;200.0;198.0
33.95368671417236;200.0;148.0
34.12755727767944;116.0;200.0
34.433793783187866;200.0;131.0
34.750208377838135;142.0;200.0
35.050408124923706;179.0;200.0
35.35808801651001;200.0;200.0
35.59045672416687;156.0;174.0
35.74304819107056;110.0;144.0
36.03075361251831;200.0;173.0
36.336934328079224;200.0;200.0
36.67028188705444;200.0;200.0
37.058945655822754;200.0;200.0
37.241458892822266;119.0;200.0
37.40058398246765;106.0;200.0
37.7591187953949;200.0;110.0
37.93020749092102;114.0;200.0
38.08280396461487;101.0;200.0
38.388046979904175;200.0;200.0
38.677347898483276;200.0;200.0
38.8494029045105;122.0;116.0
39.137632846832275;200.0;118.0
39.52300477027893;200.0;200.0
39.96804237365723;200.0;200.0
40.44313645362854;200.0;200.0
40.77163600921631;200.0;200.0
41.11228132247925;112.0;200.0
41.41887044906616;200.0;200.0
41.82623600959778;200.0;200.0
42.18228483200073;200.0;200.0
42.48750114440918;200.0;200.0
42.91371393203735;200.0;200.0
43.21989583969116;200.0;200.0
43.51868510246277;200.0;200.0
43.81741642951965;200.0;200.0
43.97599267959595;107.0;200.0
44.276249170303345;200.0;200.0
44.56800723075867;200.0;131.0
44.747605085372925;117.0;200.0
45.04979634284973;200.0;200.0
45.355356216430664;200.0;200.0
45.548261880874634;132.0;114.0
45.97662687301636;200.0;200.0
46.16354179382324;119.0;200.0
46.46002912521362;200.0;200.0
46.75777816772461;200.0;200.0
47.05004286766052;200.0;200.0
47.354427337646484;200.0;200.0
47.725605964660645;200.0;200.0
48.01459765434265;200.0;200.0
48.35941481590271;119.0;200.0
48.806437253952026;200.0;200.0
49.40925431251526;200.0;200.0
49.59521818161011;86.0;109.0
50.1081964969635;200.0;200.0
50.293728828430176;114.0;120.0
50.644122838974;200.0;112.0
50.833526372909546;118.0;121.0
51.03330063819885;122.0;200.0
51.21071147918701;120.0;200.0
51.403791666030884;129.0;120.0
51.686036586761475;152.0;200.0
51.91841459274292;137.0;130.0
52.23811173439026;134.0;123.0
52.446295499801636;131.0;112.0
52.66849112510681;131.0;104.0
52.8451292514801;112.0;68.0
52.94885587692261;66.0;83.0
53.07352352142334;76.0;61.0
53.19460678100586;78.0;73.0
53.425421953201294;91.0;64.0
53.59199595451355;95.0;94.0
53.710200786590576;64.0;93.0
53.80947470664978;59.0;61.0
53.91020727157593;62.0;88.0
54.05781149864197;71.0;54.0
54.16752004623413;55.0;54.0
54.30616092681885;56.0;77.0
54.423861026763916;72.0;70.0
54.57636761665344;53.0;57.0
54.691062211990356;62.0;84.0
54.78979778289795;52.0;69.0
54.87977695465088;58.0;89.0
54.99444317817688;76.0;55.0
55.07422876358032;47.0;67.0
55.207958459854126;84.0;53.0
55.29718828201294;59.0;75.0
55.38959980010986;53.0;51.0
55.477336168289185;53.0;66.0
55.62887144088745;75.0;68.0
55.697691440582275;48.0;42.0
55.79443311691284;59.0;50.0
55.90360760688782;67.0;46.0
55.968432903289795;41.0;50.0
