timestamps;training_score;testing_score
0.4358334541320801;16.0;10.0
0.46283936500549316;15.0;12.0
0.49874281883239746;23.0;21.0
0.5236756801605225;11.0;12.0
0.5506381988525391;11.0;14.0
0.5755715370178223;11.0;10.0
0.6224484443664551;25.0;12.0
0.6433923244476318;11.0;13.0
0.6713175773620605;15.0;12.0
0.6882729530334473;10.0;9.0
0.7216169834136963;10.0;11.0
0.7455523014068604;11.0;10.0
0.7635018825531006;9.0;8.0
0.8063869476318359;12.0;16.0
0.8402976989746094;8.0;13.0
0.8662259578704834;13.0;10.0
0.8841791152954102;10.0;13.0
0.8991379737854004;9.0;17.0
0.9230732917785645;13.0;14.0
0.9460170269012451;13.0;11.0
0.9659647941589355;11.0;13.0
1.0118424892425537;29.0;18.0
1.0327868461608887;8.0;14.0
1.0796599388122559;26.0;21.0
1.0966145992279053;9.0;43.0
1.1803901195526123;38.0;11.0
1.20432710647583;10.0;8.0
1.2362558841705322;12.0;32.0
1.295098066329956;23.0;22.0
1.3300046920776367;20.0;12.0
1.3808703422546387;30.0;31.0
1.4297385215759277;33.0;12.0
1.4586601257324219;13.0;13.0
1.5075294971466064;27.0;21.0
1.5304667949676514;14.0;21.0
1.5643398761749268;23.0;26.0
1.5922656059265137;18.0;40.0
1.6251773834228516;22.0;9.0
1.6790330410003662;40.0;23.0
1.7069580554962158;18.0;13.0
1.7498421669006348;31.0;16.0
1.7797610759735107;21.0;17.0
1.7977142333984375;10.0;17.0
1.8645355701446533;47.0;43.0
1.9124066829681396;25.0;14.0
1.9293160438537598;9.0;26.0
1.9493818283081055;18.0;11.0
1.9752936363220215;13.0;43.0
2.058070659637451;35.0;22.0
2.1069412231445312;32.0;32.0
2.1598868370056152;25.0;31.0
2.19781756401062;15.0;9.0
2.244847536087036;35.0;60.0
2.3048174381256104;46.0;13.0
2.40541672706604;62.0;23.0
2.496305227279663;59.0;42.0
2.52722430229187;20.0;126.0
2.5780889987945557;35.0;19.0
2.619976758956909;29.0;44.0
2.743663787841797;89.0;70.0
2.832775592803955;62.0;79.0
2.963184356689453;97.0;55.0
3.044992208480835;63.0;39.0
3.100842237472534;38.0;73.0
3.224510431289673;58.0;58.0
3.311289072036743;58.0;36.0
3.383730173110962;47.0;28.0
3.4601361751556396;43.0;89.0
3.575871229171753;90.0;49.0
3.6652307510375977;63.0;49.0
3.7051234245300293;30.0;92.0
3.788884401321411;66.0;41.0
3.8677759170532227;59.0;32.0
3.9196622371673584;36.0;41.0
3.9715235233306885;38.0;42.0
4.087178945541382;85.0;72.0
4.141169548034668;38.0;100.0
4.196020603179932;36.0;39.0
4.252868413925171;36.0;50.0
4.375459671020508;52.0;33.0
4.465218544006348;63.0;46.0
4.516083002090454;37.0;46.0
4.6048455238342285;66.0;34.0
4.668674945831299;43.0;69.0
4.750456094741821;55.0;35.0
4.812359571456909;37.0;61.0
4.8837080001831055;57.0;53.0
4.943623065948486;34.0;108.0
5.07128119468689;99.0;45.0
5.162038326263428;66.0;52.0
5.2700183391571045;74.0;54.0
5.350165605545044;55.0;69.0
5.407081604003906;47.0;56.0
5.604585409164429;102.0;71.0
5.703320026397705;77.0;86.0
5.780115842819214;56.0;98.0
5.92525315284729;101.0;61.0
5.978394269943237;39.0;60.0
6.157946825027466;140.0;64.0
6.253509759902954;73.0;53.0
6.329927921295166;47.0;82.0
6.39372444152832;45.0;58.0
6.4725141525268555;58.0;101.0
6.539373874664307;45.0;120.0
6.660265922546387;54.0;54.0
6.805982351303101;94.0;98.0
6.902138948440552;66.0;89.0
6.967864036560059;45.0;59.0
7.047622442245483;59.0;54.0
7.140348196029663;67.0;50.0
7.207168817520142;50.0;83.0
7.30291223526001;64.0;54.0
7.433468580245972;90.0;111.0
7.575297594070435;98.0;71.0
7.667052984237671;70.0;77.0
7.773744106292725;80.0;45.0
7.851536512374878;47.0;44.0
7.936208724975586;58.0;80.0
8.012634754180908;56.0;56.0
8.106829643249512;65.0;45.0
8.231496095657349;87.0;65.0
8.300310611724854;51.0;71.0
8.43307089805603;95.0;47.0
8.500598430633545;46.0;47.0
8.603753805160522;80.0;55.0
8.681694507598877;46.0;52.0
8.792398929595947;86.0;43.0
8.844260931015015;39.0;35.0
8.919060468673706;55.0;60.0
9.037266492843628;39.0;48.0
9.151778936386108;82.0;40.0
9.238354682922363;50.0;69.0
9.316418170928955;54.0;48.0
9.383238554000854;49.0;71.0
9.451056241989136;47.0;48.0
9.533862829208374;60.0;84.0
9.61748218536377;63.0;70.0
9.68227767944336;45.0;47.0
9.799287796020508;103.0;89.0
9.894116163253784;74.0;77.0
9.994844913482666;81.0;79.0
10.087596654891968;59.0;57.0
10.250162363052368;117.0;113.0
10.502225399017334;200.0;101.0
10.689723014831543;138.0;87.0
10.786463737487793;72.0;74.0
10.906239748001099;87.0;127.0
11.033090114593506;87.0;92.0
11.164035320281982;91.0;48.0
11.236839532852173;52.0;46.0
11.322609424591064;49.0;58.0
11.41835355758667;65.0;97.0
11.53555941581726;81.0;71.0
11.620039939880371;58.0;48.0
11.742124795913696;98.0;49.0
11.796789646148682;35.0;31.0
11.886980772018433;73.0;31.0
11.945931434631348;39.0;39.0
12.000783443450928;43.0;39.0
12.056633234024048;39.0;28.0
12.106505632400513;37.0;46.0
12.151385307312012;33.0;44.0
12.19824504852295;26.0;28.0
12.23721170425415;30.0;48.0
12.294798135757446;40.0;29.0
12.338631629943848;24.0;30.0
12.398471117019653;39.0;41.0
12.447495222091675;26.0;38.0
12.521151781082153;23.0;35.0
