timestamps;training_score;testing_score
0.25312066078186035;24.0;11.0
0.2880282402038574;22.0;10.0
0.3209402561187744;22.0;43.0
0.4150426387786865;62.0;22.0
0.447307825088501;21.0;12.0
0.5011641979217529;28.0;41.0
0.5779573917388916;28.0;35.0
0.6412904262542725;27.0;14.0
0.6752152442932129;16.0;54.0
0.7599954605102539;48.0;18.0
0.8018841743469238;21.0;39.0
0.8821713924407959;26.0;47.0
0.9160797595977783;27.0;27.0
0.9838976860046387;43.0;105.0
1.013026475906372;26.0;34.0
1.046940565109253;22.0;37.0
1.2190451622009277;110.0;30.0
1.323335886001587;61.0;92.0
1.372035264968872;28.0;70.0
1.4496197700500488;44.0;59.0
1.5496184825897217;66.0;27.0
1.5986194610595703;30.0;52.0
1.6577239036560059;35.0;38.0
1.726731538772583;42.0;70.0
1.7935521602630615;42.0;22.0
1.868126392364502;46.0;29.0
1.9580187797546387;27.0;46.0
2.002763271331787;41.0;52.0
2.0564486980438232;32.0;37.0
2.1238350868225098;42.0;30.0
2.1780283451080322;33.0;41.0
2.234950304031372;35.0;30.0
2.313739538192749;50.0;37.0
2.3744425773620605;35.0;53.0
2.4325473308563232;35.0;42.0
2.5243020057678223;61.0;60.0
2.6024515628814697;48.0;68.0
2.7486090660095215;91.0;54.0
3.017977476119995;183.0;191.0
3.1450278759002686;95.0;105.0
3.256728172302246;64.0;79.0
3.372373342514038;70.0;156.0
3.58597731590271;141.0;188.0
3.7236969470977783;88.0;186.0
4.097224712371826;200.0;96.0
4.2472984790802;99.0;52.0
4.4075446128845215;101.0;114.0
4.5399909019470215;85.0;82.0
4.671017646789551;85.0;104.0
4.801137447357178;82.0;99.0
4.935871362686157;87.0;97.0
5.046269416809082;77.0;47.0
5.281544923782349;93.0;82.0
5.418076753616333;86.0;83.0
5.571682929992676;97.0;72.0
5.6679534912109375;59.0;72.0
5.81903338432312;97.0;64.0
5.874956369400024;34.0;52.0
5.973440885543823;59.0;89.0
6.064695358276367;56.0;74.0
6.2153966426849365;98.0;82.0
6.3929667472839355;74.0;60.0
6.54758882522583;88.0;64.0
6.699423313140869;95.0;120.0
6.9050774574279785;83.0;76.0
7.0287463665008545;68.0;140.0
7.3099846839904785;86.0;200.0
7.829592943191528;113.0;184.0
8.02982211112976;106.0;188.0
8.371920347213745;200.0;147.0
8.780200719833374;194.0;200.0
9.102679967880249;200.0;200.0
9.424598217010498;200.0;179.0
9.63773250579834;143.0;183.0
10.013463735580444;200.0;200.0
10.316082239151001;200.0;200.0
10.629245042800903;200.0;200.0
11.032840490341187;200.0;200.0
11.44113802909851;200.0;200.0
11.740853786468506;200.0;200.0
12.051074028015137;200.0;200.0
12.34446930885315;200.0;200.0
12.650391101837158;200.0;200.0
12.956296920776367;200.0;200.0
13.338931560516357;200.0;200.0
13.642624378204346;200.0;200.0
