timestamps;training_score;testing_score
0.0024831295013427734;28.0;9.0
0.2022249698638916;17.0;56.0
0.33831191062927246;10.0;25.0
0.5883171558380127;18.0;28.0
1.062929630279541;34.0;20.0
1.2388534545898438;13.0;9.0
1.410165548324585;12.0;8.0
1.6349701881408691;14.0;10.0
1.8299756050109863;14.0;11.0
2.1304426193237305;21.0;9.0
2.312145233154297;13.0;9.0
2.5151684284210205;13.0;9.0
2.8747856616973877;25.0;9.0
3.038052558898926;12.0;9.0
3.536250114440918;35.0;9.0
3.710426092147827;12.0;11.0
3.9697272777557373;16.0;11.0
4.207651615142822;16.0;11.0
4.488170385360718;19.0;10.0
4.843634843826294;25.0;24.0
5.091660737991333;17.0;9.0
5.278351545333862;13.0;10.0
5.551907777786255;17.0;9.0
6.150202751159668;42.0;9.0
6.417990207672119;18.0;25.0
6.64876914024353;16.0;27.0
6.865405559539795;15.0;27.0
7.010411500930786;10.0;25.0
7.769013166427612;44.0;10.0
8.00405478477478;16.0;10.0
8.232957601547241;15.0;15.0
8.548779249191284;21.0;16.0
8.778411388397217;16.0;20.0
9.224607944488525;28.0;13.0
9.592374563217163;26.0;104.0
10.357365846633911;50.0;94.0
10.593331813812256;16.0;30.0
11.181785106658936;39.0;69.0
11.775302171707153;39.0;128.0
12.258130073547363;32.0;104.0
12.804366827011108;36.0;29.0
13.741188526153564;54.0;153.0
14.253613471984863;32.0;92.0
14.78964376449585;34.0;74.0
15.294273614883423;32.0;200.0
16.06618309020996;51.0;200.0
16.323468446731567;17.0;200.0
17.435467958450317;75.0;125.0
19.80983805656433;158.0;200.0
22.918789386749268;200.0;157.0
24.477731704711914;103.0;118.0
25.992222785949707;98.0;144.0
27.30149507522583;85.0;97.0
29.38364052772522;131.0;111.0
31.905555486679077;156.0;200.0
34.940489053726196;200.0;131.0
36.52259373664856;102.0;112.0
38.81637716293335;152.0;113.0
40.1888325214386;90.0;128.0
42.05858516693115;124.0;96.0
44.25298571586609;140.0;171.0
45.56017518043518;87.0;200.0
47.6952121257782;137.0;116.0
49.63316226005554;125.0;154.0
52.60701775550842;195.0;144.0
54.389583110809326;116.0;118.0
56.051817178726196;107.0;144.0
59.14222812652588;200.0;127.0
62.27234435081482;200.0;182.0
65.30441522598267;200.0;181.0
68.37147545814514;200.0;200.0
70.29477000236511;126.0;119.0
72.98765087127686;168.0;102.0
75.4804949760437;149.0;138.0
78.73333525657654;193.0;177.0
80.48630857467651;104.0;179.0
83.61054611206055;200.0;200.0
85.57218742370605;131.0;177.0
87.76822400093079;136.0;183.0
90.85579705238342;200.0;200.0
93.52262353897095;176.0;200.0
95.51045179367065;132.0;151.0
98.32361268997192;183.0;127.0
100.93325901031494;172.0;200.0
103.98510766029358;200.0;200.0
106.88549780845642;190.0;165.0
109.94147396087646;199.0;200.0
113.00659680366516;200.0;183.0
115.73828673362732;181.0;200.0
118.82878494262695;200.0;200.0
121.68645358085632;177.0;164.0
124.7446620464325;200.0;200.0
127.89123702049255;200.0;173.0
130.7549488544464;179.0;200.0
133.50612092018127;183.0;200.0
136.27323031425476;176.0;169.0
138.7997841835022;168.0;171.0
141.33188939094543;165.0;150.0
143.60733437538147;146.0;200.0
146.06780648231506;157.0;186.0
148.7815752029419;178.0;161.0
151.84753108024597;198.0;177.0
154.8359832763672;200.0;162.0
157.0733380317688;142.0;159.0
159.8289577960968;179.0;176.0
162.96748661994934;200.0;200.0
165.57214307785034;153.0;200.0
168.58534860610962;192.0;163.0
171.59020161628723;200.0;160.0
174.70552325248718;200.0;172.0
176.9691994190216;149.0;143.0
180.09388756752014;200.0;147.0
182.65287327766418;162.0;200.0
185.66681671142578;200.0;161.0
188.33295369148254;176.0;167.0
190.53602027893066;147.0;200.0
193.21428990364075;174.0;200.0
196.09579586982727;187.0;191.0
198.71368598937988;166.0;176.0
201.54599595069885;182.0;200.0
204.38527417182922;178.0;179.0
207.30708265304565;187.0;153.0
210.27828454971313;200.0;200.0
212.94232869148254;181.0;200.0
215.9489963054657;200.0;197.0
218.78845977783203;188.0;178.0
221.2473464012146;164.0;200.0
224.12009525299072;187.0;168.0
226.44450497627258;153.0;200.0
229.06527256965637;174.0;172.0
232.07262873649597;200.0;191.0
234.85877060890198;188.0;200.0
237.69008827209473;188.0;158.0
240.13252925872803;162.0;178.0
243.12941122055054;193.0;154.0
246.16558575630188;200.0;168.0
249.21630930900574;200.0;200.0
251.63397526741028;155.0;159.0
253.8864929676056;146.0;200.0
256.42183780670166;165.0;183.0
258.9897813796997;163.0;200.0
261.47615599632263;165.0;157.0
263.81186532974243;156.0;184.0
266.55663323402405;175.0;172.0
269.8752031326294;200.0;183.0
272.4744508266449;171.0;200.0
275.48579239845276;200.0;163.0
278.3561840057373;189.0;194.0
281.39631485939026;200.0;179.0
