timestamps;training_score;testing_score
0.0013599395751953125;19.0;10.0
0.2250232696533203;23.0;21.0
0.4598259925842285;13.0;13.0
0.8822188377380371;23.0;9.0
1.3811712265014648;27.0;11.0
1.5531272888183594;10.0;9.0
2.0525827407836914;28.0;10.0
2.246711492538452;11.0;9.0
2.5028374195098877;14.0;10.0
2.663360834121704;9.0;10.0
2.9774272441864014;15.0;10.0
3.414746046066284;24.0;10.0
3.7000014781951904;15.0;9.0
4.111517906188965;22.0;10.0
4.433624505996704;16.0;10.0
4.7011096477508545;14.0;10.0
5.031458377838135;17.0;8.0
5.536286115646362;27.0;11.0
6.105773448944092;30.0;12.0
6.492552757263184;20.0;9.0
6.728976011276245;12.0;8.0
6.914603233337402;10.0;9.0
7.147243976593018;12.0;16.0
7.317254304885864;9.0;8.0
7.516422271728516;9.0;9.0
7.730567932128906;11.0;9.0
7.985653638839722;13.0;9.0
8.409985303878784;20.0;10.0
8.650356769561768;12.0;9.0
8.854752779006958;10.0;28.0
9.22465205192566;18.0;33.0
9.681046724319458;24.0;27.0
10.515499114990234;42.0;30.0
11.158417224884033;31.0;10.0
11.40602731704712;13.0;9.0
11.641680240631104;12.0;22.0
12.379191637039185;36.0;8.0
12.677420139312744;15.0;73.0
12.872041702270508;10.0;41.0
13.607359170913696;35.0;25.0
14.283028841018677;33.0;36.0
14.80668592453003;26.0;25.0
15.09326696395874;14.0;25.0
15.398485898971558;15.0;37.0
15.960156679153442;27.0;26.0
16.69943141937256;36.0;60.0
17.557321310043335;43.0;46.0
18.780625343322754;59.0;110.0
19.7319393157959;46.0;64.0
20.779540300369263;48.0;86.0
22.024833917617798;61.0;110.0
23.414682626724243;66.0;66.0
24.855077743530273;68.0;50.0
29.067036151885986;200.0;78.0
31.171268701553345;100.0;100.0
32.84001302719116;81.0;96.0
35.20152497291565;111.0;96.0
38.68374156951904;164.0;154.0
42.83008790016174;197.0;136.0
45.881980180740356;144.0;200.0
48.48231649398804;124.0;153.0
52.25256943702698;182.0;143.0
55.865784883499146;170.0;141.0
58.407132148742676;119.0;200.0
61.68595051765442;160.0;167.0
65.24227666854858;172.0;200.0
68.9808578491211;180.0;185.0
73.08539271354675;195.0;200.0
77.63896107673645;200.0;200.0
80.70887112617493;136.0;200.0
85.06628036499023;200.0;200.0
89.3247320652008;200.0;170.0
93.468177318573;200.0;196.0
97.03757524490356;170.0;175.0
100.62493658065796;168.0;200.0
104.85726165771484;200.0;162.0
108.27498126029968;163.0;200.0
112.52020812034607;200.0;200.0
116.65811276435852;200.0;200.0
120.18623948097229;172.0;164.0
124.35533404350281;200.0;200.0
128.03419971466064;174.0;191.0
132.0242748260498;189.0;178.0
135.51929688453674;167.0;199.0
139.75253891944885;200.0;200.0
143.74592685699463;188.0;200.0
148.12008953094482;200.0;170.0
152.46895599365234;200.0;200.0
156.67228174209595;200.0;200.0
159.99253344535828;156.0;190.0
163.19046306610107;151.0;200.0
167.37832021713257;196.0;200.0
171.32366275787354;185.0;200.0
175.64495468139648;200.0;200.0
179.84088110923767;199.0;200.0
184.10703897476196;200.0;200.0
188.37568545341492;200.0;200.0
192.6798074245453;200.0;180.0
196.10341000556946;164.0;164.0
200.31238722801208;200.0;170.0
203.8800449371338;170.0;158.0
207.92974019050598;193.0;200.0
212.20336771011353;200.0;181.0
216.42322063446045;200.0;191.0
219.84361815452576;162.0;145.0
224.0224368572235;200.0;179.0
227.3636496067047;159.0;177.0
231.57692980766296;200.0;200.0
235.7848072052002;200.0;169.0
239.76069736480713;190.0;200.0
243.98785042762756;200.0;200.0
247.48702478408813;167.0;200.0
251.68486166000366;200.0;192.0
255.98045110702515;200.0;200.0
260.2554430961609;200.0;200.0
264.43494415283203;200.0;200.0
268.57533025741577;200.0;200.0
272.7654058933258;200.0;200.0
277.03798747062683;200.0;200.0
281.2867889404297;199.0;200.0
285.5259621143341;200.0;200.0
289.75435066223145;200.0;200.0
293.95284128189087;200.0;200.0
298.06659603118896;197.0;200.0
302.2819719314575;200.0;183.0
306.434734582901;200.0;200.0
310.6085829734802;200.0;200.0
314.895610332489;200.0;200.0
318.9643347263336;192.0;200.0
322.76947140693665;178.0;200.0
326.9299030303955;200.0;200.0
331.16781973838806;200.0;181.0
335.38281631469727;200.0;187.0
339.61568880081177;200.0;200.0
343.4808597564697;169.0;200.0
348.0118772983551;200.0;200.0
352.2100660800934;200.0;200.0
356.3576982021332;200.0;187.0
360.32797503471375;189.0;200.0
364.50632095336914;200.0;200.0
368.78368282318115;200.0;200.0
373.00662875175476;200.0;200.0
377.2249262332916;200.0;200.0
381.4977922439575;200.0;200.0
385.63317251205444;200.0;200.0
389.8842375278473;200.0;200.0
394.09503269195557;200.0;200.0
398.3290240764618;200.0;200.0
402.4686574935913;200.0;200.0
406.6116771697998;200.0;200.0
411.02333998680115;200.0;200.0
415.25114727020264;200.0;200.0
419.4383842945099;200.0;200.0
423.5068323612213;200.0;200.0
427.647349357605;200.0;200.0
431.81196665763855;200.0;200.0
435.97116470336914;200.0;200.0
440.10354351997375;200.0;200.0
444.20899510383606;200.0;200.0
