timestamps;training_score;testing_score
0.0020966529846191406;20.0;8.0
0.0414729118347168;12.0;8.0
0.5881540775299072;25.0;34.0
0.9514565467834473;18.0;200.0
1.2227213382720947;13.0;101.0
1.6232328414916992;19.0;35.0
2.149461507797241;24.0;53.0
2.6132891178131104;21.0;8.0
3.487872838973999;38.0;14.0
4.838981866836548;62.0;33.0
5.183272123336792;16.0;9.0
6.052496910095215;40.0;32.0
6.295482635498047;11.0;10.0
7.893108367919922;72.0;46.0
8.523727178573608;28.0;21.0
9.443027973175049;39.0;9.0
9.681292295455933;11.0;64.0
10.074941635131836;18.0;66.0
10.781731605529785;32.0;14.0
11.077942848205566;12.0;54.0
12.161601781845093;48.0;55.0
13.219445943832397;43.0;10.0
13.542411804199219;14.0;73.0
14.421144247055054;39.0;48.0
14.64948582649231;10.0;200.0
16.23697829246521;69.0;44.0
17.39849615097046;50.0;27.0
17.80623745918274;18.0;56.0
20.24857807159424;103.0;56.0
20.48422908782959;10.0;98.0
21.623915433883667;47.0;27.0
26.503204584121704;200.0;185.0
30.900512218475342;176.0;170.0
33.7442626953125;113.0;200.0
37.322826862335205;150.0;200.0
41.650662899017334;179.0;200.0
46.529205083847046;200.0;200.0
49.9365029335022;131.0;138.0
54.01621198654175;164.0;159.0
58.16293406486511;170.0;166.0
61.72530436515808;147.0;158.0
65.48257565498352;154.0;200.0
68.97491002082825;146.0;169.0
72.70023488998413;148.0;134.0
76.48933672904968;155.0;141.0
80.9568510055542;180.0;124.0
84.18046498298645;130.0;134.0
88.00437569618225;157.0;144.0
92.84561109542847;200.0;166.0
96.29951596260071;141.0;200.0
99.66443014144897;138.0;177.0
104.46606135368347;198.0;121.0
107.78994703292847;137.0;195.0
110.74918985366821;119.0;133.0
113.65594816207886;119.0;147.0
117.26758694648743;147.0;134.0
120.12557864189148;117.0;136.0
123.8298487663269;144.0;131.0
126.91360974311829;126.0;114.0
129.94059777259827;124.0;129.0
132.88867950439453;124.0;200.0
136.26268410682678;138.0;136.0
139.10089206695557;115.0;157.0
142.15254259109497;128.0;184.0
145.22563910484314;127.0;178.0
148.3507137298584;126.0;151.0
152.81830382347107;183.0;143.0
155.69027996063232;116.0;122.0
158.89129328727722;128.0;137.0
162.43534469604492;142.0;143.0
165.2457664012909;116.0;196.0
169.10624361038208;148.0;121.0
173.489355802536;168.0;143.0
178.45993518829346;200.0;152.0
181.43055868148804;122.0;135.0
184.69472861289978;134.0;132.0
187.64507412910461;123.0;133.0
191.49791502952576;157.0;132.0
194.38974380493164;119.0;137.0
197.89465165138245;139.0;188.0
201.96397185325623;173.0;200.0
205.27738404273987;138.0;137.0
210.05002427101135;200.0;137.0
214.77932977676392;195.0;141.0
218.13784265518188;133.0;160.0
221.22076630592346;127.0;140.0
224.5491487979889;130.0;145.0
227.33633685112;117.0;153.0
231.1050820350647;157.0;153.0
234.9285123348236;160.0;145.0
239.35984110832214;175.0;157.0
242.65386176109314;138.0;174.0
246.0862820148468;136.0;148.0
249.77450013160706;153.0;188.0
253.16510367393494;139.0;148.0
256.4195623397827;132.0;137.0
259.6535711288452;134.0;141.0
262.8229331970215;127.0;142.0
265.880122423172;119.0;163.0
268.54609203338623;106.0;138.0
272.38769483566284;157.0;130.0
276.18673276901245;156.0;154.0
279.42423844337463;135.0;133.0
283.9526991844177;183.0;140.0
286.8033320903778;118.0;125.0
290.40719199180603;148.0;134.0
293.82467341423035;131.0;141.0
298.72269225120544;200.0;186.0
302.71838545799255;161.0;157.0
306.1215064525604;140.0;170.0
309.4664649963379;141.0;126.0
312.87048053741455;132.0;149.0
316.79948830604553;152.0;151.0
321.28922295570374;179.0;146.0
325.2566092014313;160.0;144.0
329.3273711204529;155.0;144.0
332.87187242507935;144.0;162.0
336.1638994216919;127.0;146.0
339.9419186115265;147.0;125.0
343.1549470424652;131.0;154.0
346.7574071884155;142.0;141.0
350.5212779045105;150.0;132.0
353.66734886169434;127.0;144.0
357.2120373249054;144.0;139.0
360.39893913269043;131.0;137.0
363.6947102546692;133.0;152.0
367.23765778541565;144.0;166.0
370.42412662506104;129.0;131.0
373.4561312198639;120.0;124.0
376.7413501739502;132.0;169.0
379.78396487236023;122.0;147.0
383.51913809776306;151.0;119.0
388.44181203842163;200.0;125.0
391.4587640762329;123.0;143.0
394.84310388565063;140.0;149.0
398.4201102256775;143.0;185.0
402.5629620552063;160.0;125.0
406.38283014297485;154.0;122.0
410.20260787010193;156.0;164.0
413.2105710506439;122.0;149.0
416.57566118240356;132.0;141.0
421.497677564621;200.0;135.0
425.25275588035583;158.0;147.0
428.6251058578491;135.0;127.0
432.4460623264313;147.0;200.0
435.54697370529175;123.0;159.0
439.3926787376404;141.0;136.0
443.4640851020813;151.0;193.0
447.4407286643982;148.0;176.0
450.8467118740082;133.0;126.0
454.28744435310364;135.0;120.0
457.37162256240845;123.0;136.0
461.3107364177704;150.0;142.0
464.61691999435425;129.0;138.0
468.346962928772;152.0;129.0
471.83254289627075;139.0;147.0
476.2698082923889;179.0;200.0
479.6613211631775;138.0;179.0
482.82911372184753;128.0;150.0
486.47903060913086;146.0;130.0
