timestamps;training_score;testing_score
1.6279785633087158;47.0;120.0
1.7890079021453857;20.0;128.0
1.9323680400848389;18.0;11.0
2.1273443698883057;23.0;91.0
2.2183170318603516;11.0;29.0
2.4008352756500244;23.0;8.0
2.552778720855713;19.0;9.0
2.763174533843994;25.0;10.0
2.9028611183166504;15.0;9.0
3.1817636489868164;33.0;10.0
3.3343563079833984;19.0;10.0
3.4442625045776367;13.0;9.0
3.5930893421173096;17.0;8.0
3.7666401863098145;21.0;14.0
3.9705862998962402;25.0;10.0
4.0581066608428955;10.0;9.0
4.137911558151245;9.0;8.0
4.28979229927063;18.0;10.0
4.4500250816345215;16.0;10.0
4.549747705459595;12.0;10.0
4.71370792388916;19.0;9.0
4.818814516067505;12.0;10.0
4.893791913986206;9.0;9.0
5.2835142612457275;47.0;10.0
5.384336709976196;12.0;10.0
5.540392160415649;18.0;9.0
5.724379777908325;21.0;10.0
5.865128040313721;17.0;10.0
6.022233963012695;18.0;15.0
6.303339719772339;32.0;10.0
6.496160507202148;21.0;10.0
6.686068534851074;22.0;11.0
6.76851224899292;9.0;9.0
6.864623785018921;11.0;10.0
6.977212190628052;13.0;11.0
7.1525397300720215;17.0;10.0
7.319279670715332;19.0;8.0
7.461809396743774;15.0;10.0
7.55513072013855;10.0;9.0
7.644802093505859;10.0;9.0
7.757671594619751;13.0;9.0
7.853208065032959;10.0;10.0
8.002788305282593;16.0;10.0
8.101745367050171;10.0;9.0
8.185263395309448;9.0;12.0
8.401365756988525;22.0;15.0
8.515401124954224;12.0;12.0
8.617322444915771;10.0;14.0
8.710124492645264;10.0;11.0
8.814489126205444;10.0;11.0
8.968127727508545;17.0;13.0
9.071619272232056;11.0;12.0
9.200850486755371;13.0;14.0
9.293226957321167;9.0;12.0
9.392293930053711;10.0;9.0
9.488928079605103;10.0;11.0
9.600225687026978;11.0;13.0
9.723572969436646;12.0;9.0
9.826594591140747;11.0;10.0
9.928809642791748;10.0;9.0
10.032620668411255;9.0;9.0
10.122336149215698;9.0;9.0
10.21325397491455;9.0;10.0
10.3093900680542;9.0;9.0
10.455109357833862;15.0;10.0
10.563530921936035;10.0;9.0
10.65375018119812;9.0;9.0
10.730641841888428;8.0;15.0
10.900824069976807;17.0;15.0
11.011565923690796;11.0;9.0
11.10530948638916;10.0;10.0
11.188623189926147;9.0;10.0
11.332812070846558;16.0;11.0
11.536227703094482;21.0;18.0
11.771512508392334;23.0;22.0
12.005647897720337;24.0;23.0
12.490442752838135;48.0;20.0
12.685586214065552;19.0;29.0
12.93892526626587;25.0;14.0
13.200317144393921;28.0;32.0
13.556164741516113;36.0;61.0
13.838964700698853;29.0;41.0
14.703455686569214;87.0;26.0
15.024652004241943;32.0;49.0
15.535712718963623;52.0;52.0
15.771568298339844;23.0;35.0
16.29389977455139;52.0;41.0
16.724125862121582;44.0;64.0
17.17569875717163;46.0;93.0
17.901264190673828;74.0;76.0
18.565266847610474;68.0;108.0
19.606764316558838;107.0;134.0
20.828903675079346;125.0;115.0
22.161516189575195;137.0;89.0
23.445461988449097;133.0;122.0
24.321131706237793;90.0;110.0
25.264735221862793;95.0;109.0
26.42341709136963;120.0;200.0
28.079417943954468;170.0;200.0
29.515249490737915;148.0;88.0
31.44091796875;200.0;200.0
33.34252691268921;200.0;200.0
35.29144620895386;196.0;181.0
36.628161668777466;139.0;103.0
38.51700282096863;200.0;200.0
40.04313373565674;161.0;170.0
41.96675729751587;200.0;109.0
43.042789459228516;110.0;151.0
44.202378034591675;121.0;127.0
45.710153102874756;155.0;200.0
47.279505252838135;161.0;200.0
48.95500349998474;171.0;198.0
50.13435912132263;119.0;200.0
52.07907176017761;200.0;198.0
53.893563985824585;188.0;158.0
55.80412435531616;200.0;163.0
57.29288601875305;154.0;200.0
58.90668988227844;168.0;200.0
60.483991384506226;161.0;176.0
61.66375684738159;119.0;200.0
63.402339220047;178.0;155.0
65.37804341316223;194.0;169.0
67.39716243743896;192.0;141.0
68.56768321990967;104.0;97.0
69.98724889755249;147.0;127.0
71.62679624557495;173.0;200.0
73.54320049285889;200.0;183.0
75.45284676551819;200.0;200.0
77.34872531890869;200.0;200.0
79.22718906402588;200.0;118.0
81.11507654190063;200.0;200.0
83.0336549282074;200.0;200.0
84.56649017333984;156.0;197.0
86.3104076385498;179.0;132.0
88.25000238418579;200.0;114.0
89.68725800514221;150.0;200.0
91.59549045562744;200.0;200.0
93.2298743724823;170.0;200.0
94.28300309181213;109.0;200.0
96.02335548400879;177.0;111.0
97.43914794921875;145.0;113.0
99.3640706539154;200.0;197.0
100.96540713310242;167.0;200.0
102.17422389984131;126.0;200.0
104.05859208106995;200.0;95.0
106.06482124328613;200.0;200.0
107.96954369544983;200.0;200.0
109.86057114601135;200.0;200.0
110.92305207252502;110.0;200.0
112.85953831672668;200.0;200.0
114.80187702178955;200.0;106.0
116.70745086669922;200.0;200.0
118.66545557975769;200.0;124.0
120.37742328643799;175.0;200.0
121.36185336112976;101.0;200.0
122.33792972564697;100.0;200.0
124.23658490180969;200.0;200.0
126.20871925354004;200.0;200.0
128.16552758216858;200.0;119.0
129.64025473594666;152.0;200.0
130.8754689693451;126.0;200.0
132.1839349269867;133.0;192.0
133.26945161819458;111.0;200.0
135.20423078536987;200.0;200.0
136.57679557800293;142.0;117.0
138.5209710597992;200.0;200.0
140.4694583415985;200.0;200.0
142.41862320899963;200.0;114.0
143.4838125705719;109.0;200.0
145.4110655784607;200.0;200.0
146.74304819107056;136.0;200.0
147.511554479599;79.0;200.0
148.96737051010132;148.0;200.0
150.90753984451294;200.0;200.0
151.79277229309082;92.0;200.0
152.80459260940552;106.0;200.0
154.81342887878418;200.0;200.0
156.94984102249146;200.0;200.0
159.04745864868164;200.0;200.0
161.1222722530365;200.0;200.0
162.65981698036194;146.0;200.0
164.2966592311859;169.0;200.0
165.45688796043396;120.0;200.0
167.40347743034363;200.0;200.0
168.71249222755432;134.0;100.0
170.63737106323242;200.0;110.0
172.4916763305664;189.0;200.0
174.44818449020386;200.0;130.0
176.41551876068115;200.0;200.0
177.58596062660217;119.0;144.0
179.5130889415741;200.0;106.0
180.73975825309753;125.0;122.0
182.67322969436646;200.0;200.0
184.62990808486938;200.0;200.0
186.55181097984314;200.0;130.0
188.53250288963318;200.0;200.0
190.47427201271057;200.0;200.0
192.43250441551208;200.0;200.0
194.38041877746582;200.0;200.0
196.33615350723267;200.0;200.0
198.27634263038635;200.0;200.0
200.2177596092224;200.0;200.0
202.16426157951355;200.0;200.0
204.09964609146118;200.0;131.0
206.01550245285034;200.0;200.0
207.1494390964508;119.0;200.0
209.07332944869995;200.0;195.0
211.00108075141907;200.0;200.0
212.24204874038696;129.0;94.0
214.1784543991089;200.0;200.0
216.0910084247589;200.0;200.0
218.02307605743408;200.0;200.0
219.9559724330902;200.0;179.0
221.8746874332428;200.0;195.0
223.80338311195374;200.0;189.0
225.60597324371338;185.0;131.0
227.5605115890503;200.0;200.0
229.52448439598083;200.0;200.0
231.48586678504944;200.0;200.0
232.696772813797;128.0;200.0
234.24421405792236;159.0;157.0
235.51496720314026;129.0;183.0
237.43039631843567;200.0;200.0
239.3719539642334;200.0;200.0
241.3161585330963;200.0;200.0
243.24178433418274;200.0;200.0
245.13720655441284;200.0;200.0
247.09132051467896;200.0;200.0
248.5872266292572;157.0;196.0
250.24578428268433;177.0;190.0
251.99002242088318;181.0;151.0
253.30729222297668;136.0;166.0
254.2137303352356;95.0;200.0
256.13404846191406;200.0;200.0
257.95527386665344;200.0;200.0
259.5744230747223;169.0;200.0
261.3190939426422;184.0;200.0
263.2270736694336;199.0;200.0
265.16089057922363;200.0;142.0
266.9983444213867;189.0;180.0
268.95258831977844;200.0;150.0
270.8240089416504;193.0;194.0
272.7539441585541;200.0;200.0
274.68098855018616;200.0;111.0
275.6347198486328;99.0;200.0
277.5773854255676;200.0;200.0
279.1830611228943;173.0;200.0
281.06236577033997;200.0;200.0
282.78235125541687;181.0;133.0
284.7036736011505;200.0;200.0
286.59945487976074;200.0;200.0
288.5490267276764;200.0;200.0
290.1632673740387;167.0;98.0
291.17032957077026;106.0;139.0
292.5373737812042;141.0;200.0
294.2130436897278;173.0;200.0
296.1179485321045;200.0;200.0
297.77235317230225;170.0;163.0
299.6812152862549;196.0;200.0
301.60088300704956;196.0;197.0
303.56276750564575;200.0;164.0
305.10922288894653;160.0;200.0
306.79595255851746;173.0;111.0
307.76026344299316;102.0;185.0
309.27419996261597;157.0;173.0
