timestamps;training_score;testing_score
0.0;20.0;11.0
0.04288911819458008;14.0;18.0
0.128737211227417;10.0;10.0
0.2105574607849121;9.0;10.0
0.5575873851776123;22.0;18.0
0.6736407279968262;12.0;38.0
1.0268325805664062;39.0;10.0
1.234358787536621;21.0;9.0
1.358971357345581;13.0;10.0
1.6908924579620361;37.0;10.0
1.7859463691711426;11.0;9.0
1.917250633239746;14.0;9.0
2.082508087158203;16.0;38.0
2.2590363025665283;19.0;23.0
2.5213372707366943;16.0;10.0
2.7012197971343994;17.0;167.0
2.8727622032165527;19.0;96.0
2.9745240211486816;11.0;128.0
3.145923137664795;19.0;16.0
3.28299880027771;14.0;9.0
3.451404571533203;16.0;9.0
3.5421698093414307;9.0;10.0
3.829880714416504;31.0;14.0
3.9124553203582764;9.0;15.0
4.231761932373047;18.0;8.0
4.31454062461853;10.0;10.0
4.410321950912476;10.0;8.0
4.552976608276367;15.0;9.0
4.656733751296997;10.0;9.0
5.001614332199097;35.0;9.0
5.12994384765625;11.0;10.0
5.224993467330933;9.0;10.0
5.338687181472778;11.0;9.0
5.429473161697388;9.0;11.0
5.5730485916137695;15.0;12.0
5.657348394393921;9.0;10.0
5.7926106452941895;13.0;10.0
5.909520626068115;11.0;9.0
6.281861782073975;21.0;9.0
6.423481225967407;10.0;9.0
6.5691821575164795;13.0;9.0
6.765890598297119;19.0;8.0
6.949590682983398;18.0;10.0
7.091284513473511;11.0;10.0
7.190052509307861;9.0;9.0
7.3086998462677;11.0;10.0
7.424419403076172;11.0;10.0
7.562052011489868;13.0;9.0
7.662990093231201;10.0;9.0
7.7527031898498535;9.0;11.0
7.848130941390991;8.0;8.0
7.986759424209595;13.0;9.0
8.092509746551514;10.0;10.0
8.293972969055176;10.0;12.0
8.452632427215576;11.0;22.0
8.596419095993042;15.0;10.0
8.74751615524292;14.0;10.0
8.886176347732544;13.0;12.0
9.029824256896973;14.0;10.0
9.143548011779785;11.0;10.0
9.261232852935791;11.0;10.0
9.382909297943115;12.0;8.0
9.538593292236328;16.0;11.0
9.688844442367554;13.0;15.0
9.831454992294312;14.0;9.0
9.946174621582031;11.0;11.0
10.079818964004517;13.0;9.0
10.223436832427979;11.0;10.0
10.448711395263672;10.0;11.0
10.698696851730347;26.0;13.0
10.818339824676514;11.0;10.0
10.959962368011475;13.0;10.0
11.076478719711304;12.0;13.0
11.337490558624268;25.0;22.0
11.52254033088684;17.0;26.0
11.790822267532349;22.0;46.0
12.181328773498535;38.0;26.0
12.533726453781128;22.0;13.0
13.299471378326416;74.0;64.0
13.662532567977905;35.0;76.0
13.951871395111084;28.0;24.0
14.277750492095947;23.0;27.0
15.005082368850708;67.0;19.0
15.399029016494751;38.0;54.0
15.841847658157349;39.0;96.0
16.513811111450195;41.0;78.0
17.12816834449768;56.0;49.0
17.55505681037903;40.0;60.0
18.284653425216675;59.0;84.0
18.972819328308105;65.0;42.0
19.989129543304443;94.0;30.0
20.72017240524292;50.0;43.0
21.20786762237549;51.0;108.0
21.690561294555664;47.0;31.0
22.35079789161682;53.0;41.0
22.754749059677124;39.0;163.0
23.834518432617188;97.0;155.0
24.675999402999878;63.0;82.0
25.29438328742981;61.0;120.0
26.961498498916626;141.0;134.0
28.00412678718567;98.0;61.0
29.759676933288574;139.0;161.0
30.824209690093994;85.0;90.0
31.749701738357544;87.0;107.0
33.59865355491638;155.0;88.0
34.80542612075806;87.0;91.0
37.098297357559204;200.0;108.0
39.31437158584595;191.0;128.0
40.628047704696655;127.0;200.0
41.9642071723938;114.0;200.0
44.306618213653564;200.0;200.0
46.59731125831604;200.0;200.0
48.77577805519104;181.0;200.0
50.89482259750366;182.0;113.0
53.18697667121887;200.0;200.0
55.49710464477539;200.0;200.0
57.804195165634155;200.0;200.0
60.129605770111084;200.0;200.0
62.38158464431763;200.0;200.0
64.70215344429016;200.0;200.0
67.03104043006897;200.0;191.0
68.94368290901184;174.0;200.0
71.41480708122253;200.0;200.0
73.64484286308289;200.0;200.0
75.9925856590271;200.0;200.0
78.30839037895203;200.0;200.0
80.91533589363098;200.0;200.0
83.19819903373718;200.0;200.0
85.48009634017944;200.0;200.0
87.90389895439148;200.0;200.0
90.30813574790955;200.0;200.0
92.62472558021545;200.0;200.0
94.8577835559845;200.0;200.0
97.21348786354065;200.0;200.0
99.45855283737183;200.0;200.0
101.79119086265564;200.0;200.0
104.09204053878784;200.0;200.0
106.35199999809265;200.0;200.0
108.81850171089172;200.0;200.0
111.14491772651672;200.0;200.0
113.53043246269226;200.0;200.0
115.90508365631104;200.0;200.0
118.47566318511963;200.0;200.0
120.7862606048584;200.0;200.0
123.18894982337952;200.0;200.0
125.51370978355408;200.0;200.0
127.82497930526733;200.0;200.0
130.23121309280396;200.0;200.0
132.60210537910461;200.0;200.0
135.23278045654297;200.0;200.0
137.5736985206604;200.0;200.0
139.90461254119873;200.0;200.0
142.3196086883545;200.0;200.0
144.6832194328308;200.0;200.0
147.0372359752655;200.0;200.0
149.32124400138855;200.0;200.0
151.63905119895935;200.0;200.0
153.92493844032288;200.0;200.0
156.251238822937;200.0;200.0
158.5979928970337;200.0;200.0
161.01925110816956;200.0;171.0
163.53053426742554;200.0;200.0
166.33150720596313;200.0;200.0
168.61299014091492;200.0;200.0
170.99692845344543;200.0;200.0
173.62139010429382;200.0;200.0
176.14706993103027;200.0;200.0
178.39199805259705;200.0;200.0
180.6126561164856;200.0;200.0
182.93365597724915;200.0;200.0
185.24646139144897;200.0;200.0
187.473534822464;200.0;200.0
189.85710859298706;200.0;200.0
192.1968514919281;200.0;200.0
194.04158473014832;147.0;200.0
196.41740536689758;200.0;200.0
198.7404968738556;200.0;200.0
201.08930277824402;200.0;200.0
203.36424684524536;200.0;200.0
205.69246172904968;200.0;200.0
207.97136855125427;193.0;200.0
210.24831247329712;200.0;200.0
212.62894916534424;200.0;200.0
214.96270775794983;200.0;200.0
217.3044831752777;200.0;200.0
219.78114819526672;200.0;200.0
222.17950439453125;200.0;200.0
224.4625883102417;200.0;200.0
226.73650598526;200.0;200.0
229.06227374076843;200.0;200.0
231.34668922424316;200.0;200.0
233.7687394618988;200.0;200.0
236.11150360107422;200.0;200.0
238.47454690933228;200.0;200.0
240.76222443580627;200.0;200.0
243.14865231513977;200.0;200.0
245.47837209701538;200.0;200.0
247.80615782737732;200.0;200.0
250.31162190437317;200.0;200.0
252.63762021064758;200.0;200.0
254.9110245704651;200.0;200.0
257.2707488536835;200.0;200.0
259.70527052879333;200.0;200.0
262.03806710243225;200.0;200.0
264.37545013427734;200.0;200.0
266.6803607940674;200.0;200.0
269.0259108543396;200.0;200.0
271.4919364452362;200.0;200.0
273.818612575531;200.0;186.0
276.529381275177;200.0;200.0
280.7068078517914;200.0;200.0
283.4963812828064;200.0;200.0
286.37053513526917;200.0;200.0
288.7183656692505;200.0;200.0
291.081955909729;200.0;200.0
293.4223139286041;200.0;200.0
295.67628717422485;200.0;200.0
298.088121175766;197.0;196.0
300.5272045135498;200.0;200.0
302.8502173423767;200.0;152.0
305.1331431865692;200.0;179.0
307.4420804977417;200.0;200.0
309.7479133605957;200.0;163.0
312.0427792072296;200.0;175.0
314.2918028831482;196.0;200.0
316.7826175689697;200.0;200.0
318.68353295326233;168.0;200.0
320.9614143371582;200.0;200.0
323.2791221141815;200.0;200.0
325.63172149658203;200.0;200.0
327.9851658344269;200.0;200.0
330.37584114074707;200.0;148.0
332.10049653053284;139.0;178.0
334.27587389945984;169.0;200.0
336.9011001586914;200.0;173.0
339.32424449920654;200.0;186.0
341.534250497818;185.0;200.0
343.22507977485657;140.0;200.0
345.63663053512573;200.0;200.0
347.9434223175049;200.0;195.0
350.1914095878601;200.0;200.0
352.47800850868225;200.0;200.0
354.3017888069153;154.0;149.0
356.62058091163635;200.0;200.0
358.89830327033997;200.0;200.0
361.38465428352356;200.0;200.0
363.6805658340454;200.0;181.0
365.63959288597107;158.0;200.0
368.05741691589355;200.0;183.0
370.6125285625458;200.0;179.0
372.79273414611816;190.0;200.0
374.6355321407318;171.0;200.0
377.0931074619293;200.0;195.0
379.3151648044586;186.0;161.0
381.64892053604126;200.0;155.0
383.9777235984802;200.0;134.0
386.2476532459259;196.0;200.0
388.67195558547974;194.0;200.0
390.8748228549957;189.0;200.0
393.2335526943207;200.0;200.0
395.93965435028076;158.0;170.0
398.3162000179291;170.0;200.0
400.2667443752289;157.0;128.0
402.15407729148865;143.0;200.0
404.4526352882385;191.0;179.0
406.8197205066681;200.0;148.0
408.6556966304779;157.0;200.0
410.91062927246094;188.0;142.0
412.87540102005005;164.0;153.0
414.9854726791382;181.0;181.0
416.79463505744934;155.0;187.0
419.1288170814514;200.0;200.0
421.43066143989563;200.0;199.0
423.50887751579285;178.0;200.0
425.9872479438782;200.0;200.0
427.9782407283783;183.0;200.0
430.16907382011414;184.0;181.0
432.4175305366516;200.0;200.0
434.62417364120483;191.0;200.0
436.8821485042572;200.0;195.0
438.92930793762207;184.0;200.0
441.34983921051025;200.0;200.0
443.9648096561432;200.0;200.0
446.7729904651642;200.0;197.0
449.35886573791504;200.0;190.0
452.0222284793854;200.0;200.0
455.04811358451843;200.0;200.0
457.54031586647034;200.0;200.0
459.75515055656433;200.0;196.0
462.22720980644226;200.0;200.0
464.297265291214;173.0;200.0
466.5514705181122;183.0;200.0
468.9320764541626;200.0;200.0
471.3614590167999;200.0;200.0
473.6081223487854;191.0;200.0
476.06229758262634;200.0;200.0
478.3791332244873;200.0;196.0
480.6908333301544;200.0;200.0
482.91971373558044;200.0;200.0
485.1600697040558;200.0;200.0
487.4162857532501;200.0;200.0
489.7261633872986;200.0;200.0
492.0112884044647;200.0;200.0
493.7317500114441;166.0;200.0
496.0533697605133;200.0;170.0
498.51509523391724;200.0;200.0
500.4402902126312;162.0;187.0
502.790513753891;200.0;200.0
504.9537034034729;185.0;200.0
507.01176738739014;186.0;200.0
509.25927805900574;200.0;200.0
511.5445430278778;200.0;200.0
513.786333322525;200.0;200.0
516.0563659667969;200.0;200.0
