timestamps;training_score;testing_score
0.5056509971618652;33.0;19.0
0.5299575328826904;19.0;13.0
0.5788290500640869;29.0;20.0
0.6137423515319824;22.0;31.0
0.6666007041931152;28.0;14.0
0.7234876155853271;45.0;36.0
0.7649726867675781;34.0;40.0
0.794255256652832;25.0;25.0
0.8960208892822266;78.0;32.0
0.954864501953125;47.0;37.0
1.0087189674377441;45.0;48.0
1.0815296173095703;61.0;91.0
1.1084578037261963;22.0;40.0
1.140376329421997;26.0;48.0
1.23811936378479;91.0;28.0
1.3059334754943848;62.0;23.0
1.3887133598327637;84.0;83.0
1.4706270694732666;81.0;59.0
1.5035374164581299;30.0;85.0
1.5474193096160889;39.0;92.0
1.5634138584136963;14.0;148.0
1.615278720855713;51.0;18.0
1.6501879692077637;34.0;102.0
1.6821026802062988;31.0;46.0
1.8196959495544434;138.0;46.0
1.8915045261383057;74.0;17.0
1.9832589626312256;96.0;179.0
2.089385986328125;106.0;200.0
2.2200369834899902;108.0;16.0
2.378617525100708;146.0;102.0
2.5316200256347656;142.0;200.0
2.779953718185425;176.0;200.0
3.238727331161499;200.0;200.0
3.696502208709717;200.0;200.0
4.001686334609985;200.0;200.0
4.280928134918213;200.0;200.0
4.5382399559021;200.0;200.0
4.7675909996032715;200.0;200.0
4.979997158050537;200.0;200.0
5.196423530578613;200.0;200.0
5.4163267612457275;200.0;200.0
5.650533676147461;200.0;200.0
5.9038615226745605;200.0;200.0
6.166201114654541;200.0;200.0
6.437474966049194;200.0;200.0
6.638937711715698;200.0;200.0
6.8344199657440186;200.0;200.0
7.022057294845581;200.0;200.0
7.236483097076416;200.0;200.0
7.469858407974243;200.0;125.0
7.697253942489624;200.0;200.0
7.9525744915008545;200.0;154.0
8.179966688156128;185.0;153.0
8.372453212738037;142.0;150.0
8.517067909240723;132.0;119.0
8.712549686431885;144.0;106.0
8.852213859558105;108.0;137.0
9.060656070709229;115.0;108.0
9.118502140045166;40.0;110.0
9.308992385864258;134.0;121.0
9.460588693618774;133.0;122.0
9.665046691894531;147.0;135.0
9.848527908325195;156.0;129.0
10.008502006530762;152.0;124.0
10.170110702514648;160.0;134.0
10.323703050613403;150.0;161.0
10.456393718719482;140.0;151.0
10.622956991195679;164.0;167.0
10.769593715667725;155.0;151.0
10.939138889312744;148.0;200.0
11.137576818466187;169.0;151.0
11.329067707061768;174.0;200.0
11.478665590286255;145.0;181.0
11.663172483444214;180.0;178.0
11.87436580657959;200.0;200.0
12.11672329902649;186.0;200.0
12.356085300445557;200.0;200.0
12.572506666183472;200.0;200.0
12.848767757415771;200.0;200.0
13.135003089904785;200.0;200.0
13.42020297050476;200.0;200.0
13.680854797363281;200.0;200.0
13.904258012771606;200.0;200.0
14.093399047851562;200.0;200.0
14.288879156112671;200.0;200.0
