timestamps;training_score;testing_score
0.4213430881500244;17.0;15.0
0.4392971992492676;17.0;17.0
0.4856693744659424;44.0;44.0
0.5275557041168213;42.0;24.0
0.541069746017456;12.0;39.0
0.5630133152008057;19.0;28.0
0.5875418186187744;24.0;17.0
0.6117186546325684;21.0;17.0
0.6306686401367188;14.0;33.0
0.6915090084075928;59.0;17.0
0.7154433727264404;13.0;19.0
0.7423746585845947;12.0;15.0
0.7573370933532715;12.0;40.0
0.7891547679901123;26.0;21.0
0.8001275062561035;9.0;34.0
0.8159582614898682;14.0;18.0
0.8299202919006348;12.0;48.0
0.8482630252838135;16.0;24.0
0.8662145137786865;16.0;24.0
0.8801801204681396;11.0;17.0
0.9021210670471191;18.0;19.0
0.9190976619720459;13.0;30.0
0.9510149955749512;22.0;19.0
0.9859213829040527;19.0;24.0
1.0457611083984375;53.0;31.0
1.069704294204712;21.0;24.0
1.0926530361175537;22.0;21.0
1.105607032775879;12.0;21.0
1.1305387020111084;22.0;14.0
1.1445047855377197;12.0;46.0
1.1614584922790527;12.0;34.0
1.1784131526947021;16.0;12.0
1.2065062522888184;25.0;23.0
1.2185168266296387;9.0;20.0
1.246443748474121;16.0;18.0
1.3192472457885742;16.0;17.0
1.3501641750335693;18.0;19.0
1.3661205768585205;14.0;20.0
1.4010279178619385;27.0;15.0
1.4339408874511719;30.0;13.0
1.4569151401519775;20.0;12.0
1.477820634841919;16.0;10.0
1.5027656555175781;21.0;10.0
1.5187287330627441;12.0;21.0
1.5380985736846924;15.0;10.0
1.5510673522949219;10.0;15.0
1.581038236618042;28.0;13.0
1.5989563465118408;13.0;20.0
1.6212844848632812;19.0;10.0
1.6551551818847656;31.0;15.0
1.668118953704834;12.0;14.0
1.680051326751709;8.0;9.0
1.7019953727722168;20.0;13.0
1.7159593105316162;10.0;10.0
1.7369420528411865;20.0;25.0
1.7539002895355225;14.0;17.0
1.778831958770752;20.0;26.0
1.7985403537750244;15.0;24.0
