timestamps;training_score;testing_score
0.42705392837524414;12.0;30.0
0.4559769630432129;13.0;44.0
0.48190736770629883;16.0;32.0
0.5168137550354004;33.0;19.0
0.5377981662750244;21.0;11.0
0.5507669448852539;11.0;20.0
0.5796670913696289;27.0;22.0
0.609553337097168;27.0;17.0
0.6524417400360107;35.0;19.0
0.6923348903656006;31.0;12.0
0.7292366027832031;17.0;22.0
0.7501814365386963;19.0;13.0
0.8110189437866211;61.0;12.0
0.824981689453125;14.0;9.0
0.8728559017181396;47.0;21.0
0.909721851348877;34.0;14.0
0.9466226100921631;33.0;50.0
0.9675540924072266;18.0;24.0
0.9934849739074707;24.0;16.0
1.0094423294067383;14.0;22.0
1.039362907409668;13.0;13.0
1.1520640850067139;59.0;25.0
1.1799898147583008;14.0;43.0
1.2228755950927734;20.0;38.0
1.265760898590088;26.0;23.0
1.3156282901763916;22.0;24.0
1.355518102645874;15.0;19.0
1.445279836654663;24.0;36.0
1.5041224956512451;34.0;15.0
1.561967372894287;53.0;21.0
1.590890884399414;29.0;14.0
1.6297872066497803;41.0;24.0
1.6936404705047607;68.0;60.0
1.7485296726226807;57.0;50.0
1.7914156913757324;41.0;39.0
1.8173470497131348;26.0;50.0
1.8413183689117432;21.0;25.0
1.9171159267425537;82.0;22.0
1.9659888744354248;51.0;25.0
2.0089104175567627;41.0;36.0
2.075735330581665;73.0;19.0
2.096679925918579;16.0;15.0
2.118622303009033;21.0;26.0
2.1495048999786377;29.0;17.0
2.1875317096710205;40.0;26.0
2.25235652923584;64.0;81.0
2.2663309574127197;13.0;31.0
2.3130695819854736;49.0;57.0
2.3539538383483887;44.0;62.0
2.4169654846191406;72.0;54.0
2.504733085632324;105.0;31.0
2.563624620437622;69.0;39.0
2.604790449142456;43.0;53.0
2.6596250534057617;50.0;42.0
2.778276205062866;133.0;40.0
2.8121862411499023;38.0;45.0
2.8813560009002686;79.0;26.0
2.9701099395751953;100.0;38.0
2.9999849796295166;32.0;69.0
3.036888837814331;41.0;72.0
3.082768678665161;52.0;97.0
3.1106958389282227;27.0;32.0
3.143608808517456;36.0;81.0
3.2313926219940186;99.0;86.0
3.2633445262908936;31.0;59.0
3.3291659355163574;74.0;38.0
3.3501498699188232;22.0;50.0
3.376082181930542;24.0;34.0
3.415978193283081;44.0;65.0
3.4917774200439453;82.0;50.0
3.5316708087921143;42.0;62.0
3.560595750808716;29.0;47.0
3.6144649982452393;59.0;48.0
3.6583471298217773;51.0;55.0
3.6909775733947754;36.0;41.0
3.7308757305145264;42.0;149.0
3.7638168334960938;33.0;28.0
3.794323682785034;32.0;32.0
3.8292312622070312;33.0;35.0
3.8551273345947266;21.0;53.0
3.9029972553253174;45.0;58.0
3.9837839603424072;61.0;48.0
4.0196852684021;32.0;67.0
4.081518888473511;29.0;49.0
4.230123996734619;105.0;27.0
4.287968635559082;33.0;27.0
4.3517982959747314;57.0;36.0
4.40864634513855;51.0;82.0
4.462501764297485;48.0;46.0
4.535307168960571;67.0;19.0
4.578227996826172;44.0;45.0
4.646049737930298;79.0;70.0
4.693392038345337;51.0;34.0
4.783106088638306;106.0;101.0
4.847928524017334;46.0;74.0
4.904774904251099;52.0;91.0
4.993577003479004;106.0;69.0
5.028358221054077;37.0;77.0
5.063264846801758;37.0;42.0
5.117172479629517;58.0;71.0
5.18100380897522;65.0;39.0
5.265777349472046;91.0;54.0
5.324623346328735;64.0;35.0
5.345551252365112;17.0;99.0
5.378473281860352;34.0;46.0
5.431333541870117;56.0;71.0
5.475255250930786;44.0;57.0
5.549057483673096;82.0;67.0
5.595896244049072;49.0;58.0
5.641774654388428;48.0;49.0
5.689684867858887;52.0;34.0
5.766531705856323;90.0;37.0
5.8413310050964355;85.0;149.0
5.890228271484375;54.0;68.0
5.9730095863342285;88.0;71.0
