timestamps;training_score;testing_score
1.1684401035308838;12.0;27.0
1.1974048614501953;9.0;21.0
1.3011550903320312;32.0;9.0
1.3849425315856934;39.0;32.0
1.424384355545044;18.0;11.0
1.448591709136963;14.0;13.0
1.492516279220581;24.0;29.0
1.5925183296203613;27.0;27.0
1.6074705123901367;10.0;11.0
1.6642794609069824;33.0;15.0
1.704503059387207;20.0;94.0
1.7254486083984375;11.0;27.0
1.7683074474334717;23.0;14.0
1.8012187480926514;20.0;11.0
1.8251538276672363;14.0;19.0
1.8600409030914307;19.0;12.0
1.8909180164337158;15.0;18.0
1.9198501110076904;14.0;10.0
1.9467744827270508;13.0;42.0
1.9827086925506592;17.0;32.0
2.0245633125305176;21.0;20.0
2.055473566055298;16.0;64.0
2.107335329055786;32.0;16.0
2.16015887260437;31.0;26.0
2.209254503250122;25.0;26.0
2.237961769104004;14.0;16.0
2.3632616996765137;84.0;11.0
2.3951783180236816;18.0;14.0
2.4250969886779785;16.0;69.0
2.4500248432159424;11.0;11.0
2.479666233062744;18.0;34.0
2.511580467224121;16.0;11.0
2.573415994644165;36.0;18.0
2.6332576274871826;34.0;17.0
2.7349867820739746;31.0;12.0
2.7708899974823;18.0;11.0
2.8097872734069824;23.0;57.0
2.850651502609253;25.0;20.0
2.8715593814849854;12.0;19.0
2.9154415130615234;27.0;25.0
2.989243507385254;44.0;39.0
3.0181679725646973;13.0;15.0
3.0381147861480713;9.0;17.0
3.0890135765075684;26.0;28.0
3.12292218208313;16.0;12.0
3.1528587341308594;15.0;18.0
3.197735548019409;21.0;11.0
3.2336409091949463;17.0;16.0
3.3044593334198;40.0;17.0
3.396474838256836;29.0;15.0
3.439358949661255;21.0;15.0
3.485236883163452;26.0;25.0
3.5071449279785156;12.0;21.0
3.5540196895599365;25.0;34.0
3.6088452339172363;33.0;16.0
3.689629077911377;50.0;17.0
3.717555046081543;15.0;60.0
3.74847149848938;16.0;18.0
3.808311939239502;37.0;15.0
3.831249713897705;12.0;44.0
3.8871054649353027;20.0;17.0
3.9768664836883545;30.0;18.0
4.008779764175415;17.0;60.0
4.1025285720825195;64.0;13.0
4.128459215164185;13.0;15.0
4.180434942245483;29.0;18.0
4.251097202301025;41.0;54.0
4.290961503982544;24.0;22.0
4.327863454818726;20.0;47.0
4.3547937870025635;14.0;45.0
4.38568377494812;18.0;20.0
4.446520805358887;36.0;11.0
4.488381624221802;22.0;13.0
4.518301010131836;15.0;36.0
4.556199312210083;22.0;32.0
4.612050771713257;32.0;9.0
4.648953437805176;18.0;48.0
4.677840948104858;13.0;39.0
4.730670928955078;29.0;21.0
4.7536091804504395;11.0;16.0
4.789483308792114;18.0;12.0
4.815411806106567;12.0;14.0
4.8445885181427;16.0;19.0
4.8775341510772705;17.0;19.0
4.906423091888428;15.0;45.0
4.948310375213623;23.0;38.0
4.990199089050293;22.0;25.0
5.054025173187256;19.0;43.0
5.080952882766724;13.0;20.0
5.106884479522705;14.0;21.0
5.15475869178772;32.0;24.0
5.201432943344116;26.0;33.0
5.265228509902954;41.0;20.0
5.297145843505859;17.0;41.0
5.389863729476929;55.0;21.0
5.4281699657440186;21.0;24.0
5.4770424365997314;27.0;29.0
5.5019752979278564;12.0;51.0
5.5927512645721436;52.0;21.0
5.649600505828857;34.0;19.0
5.688501834869385;21.0;27.0
5.714432239532471;14.0;32.0
5.734380722045898;11.0;14.0
5.7703235149383545;18.0;10.0
5.874732494354248;64.0;39.0
5.919624328613281;26.0;22.0
5.95552921295166;20.0;13.0
6.042299032211304;56.0;31.0
6.0692267417907715;13.0;38.0
6.173939943313599;68.0;14.0
6.202906131744385;16.0;18.0
6.301642179489136;31.0;41.0
6.329566478729248;13.0;37.0
6.383461236953735;31.0;67.0
6.414377450942993;15.0;27.0
6.483229398727417;45.0;21.0
6.541057348251343;33.0;13.0
6.5829455852508545;23.0;38.0
6.7545576095581055;109.0;46.0
6.854290962219238;63.0;63.0
6.954783916473389;62.0;29.0
6.995674133300781;22.0;30.0
7.069476842880249;44.0;13.0
7.117348670959473;28.0;14.0
7.166501760482788;26.0;62.0
7.2113471031188965;24.0;35.0
7.273180246353149;37.0;28.0
7.3110857009887695;21.0;36.0
7.377907037734985;39.0;27.0
7.407827377319336;15.0;25.0
7.601311683654785;76.0;31.0
7.659157991409302;41.0;22.0
7.704040765762329;24.0;38.0
7.743932723999023;23.0;42.0
7.769862174987793;12.0;15.0
7.827277898788452;36.0;35.0
7.93654727935791;70.0;47.0
7.966466426849365;15.0;31.0
8.019324541091919;27.0;37.0
8.060214757919312;22.0;36.0
8.11506700515747;33.0;40.0
8.186904668807983;44.0;11.0
8.210840940475464;11.0;80.0
8.276664018630981;44.0;17.0
8.355453252792358;49.0;86.0
8.428224563598633;42.0;26.0
8.486998558044434;34.0;32.0
8.55670714378357;42.0;54.0
8.595602750778198;22.0;43.0
8.7661452293396;85.0;41.0
8.829941987991333;40.0;65.0
8.909727334976196;51.0;48.0
8.970564842224121;35.0;30.0
9.05433964729309;54.0;17.0
9.157063484191895;68.0;104.0
9.28770661354065;85.0;44.0
9.367690086364746;47.0;35.0
9.555213212966919;96.0;35.0
9.599095821380615;23.0;19.0
9.632288694381714;18.0;61.0
9.70908522605896;33.0;93.0
9.940471887588501;41.0;62.0
10.008017539978027;22.0;38.0
10.108748197555542;69.0;37.0
10.270373106002808;100.0;45.0
10.45081114768982;93.0;47.0
10.505663871765137;34.0;100.0
10.558524131774902;27.0;96.0
10.719095468521118;101.0;76.0
10.799878597259521;47.0;38.0
10.958279848098755;86.0;26.0
11.03304648399353;44.0;36.0
11.168270111083984;59.0;56.0
11.284538984298706;76.0;51.0
11.380246877670288;59.0;40.0
11.449032306671143;41.0;34.0
11.52881908416748;50.0;86.0
11.655480861663818;84.0;51.0
11.772168636322021;75.0;52.0
11.930556297302246;107.0;40.0
